PaperID,Rev1ID,Rev1Score,Rev2ID,Rev2Score
p1,r3,2,r10,3
p2,r3,3,r12,3
p3,r3,2,r10,4
p4,r3,2,r13,3
p6,r4,2,r6,3
p7,r4,3,r6,4
p8,r4,3,r6,3
p9,r5,4,r7,4
p10,r5,2,r7,3
p11,r5,3,r7,3
p12,r2,4,r13,3
p13,r2,3,r11,3
p15,r3,4,r11,4
p16,r3,3,r11,4
p17,r3,3,r11,3
p18,r3,3,r10,4
p19,r1,4,r10,3
p20,r1,4,r10,3
p21,r3,3,r10,4
p22,r3,3,r10,3
p23,r3,3,r10,3
p24,r3,1,r10,2
p25,r3,1,r10,2
p26,r2,2,r9,3
p27,r2,2,r9,2
p28,r2,2,r9,3
p29,r3,1,r6,3
p30,r3,2,r6,2
p31,r3,3,r6,2
p32,r1,4,r13,2
p33,r1,4,r7,3
p35,r4,3,r11,3
p36,r4,3,r11,2
p37,r4,4,r11,2
p38,r2,3,r12,3
p39,r2,3,r12,4
p40,r2,3,r12,4
p41,r2,4,r9,4
p42,r2,3,r9,4
p43,r2,4,r9,4
p44,r1,4,r10,4
p45,r1,4,r10,3
p46,r1,3,r10,4
p47,r2,3,r13,3
p48,r2,3,r13,3
p49,r2,3,r13,2
p50,r1,4,r9,2
p51,r1,3,r9,2
p52,r1,3,r9,2
p53,r2,3,r9,3
p54,r2,3,r9,4
p55,r2,3,r9,3
p56,r2,3,r9,3
p57,r2,3,r9,3
p58,r2,3,r9,3
p59,r2,3,r8,4
p60,r2,3,r8,3
p61,r2,3,r8,3
p62,r3,2,r12,3
p63,r3,2,r10,3
p65,r4,4,r8,3
p66,r4,3,r8,3
p67,r2,3,r12,4
p68,r2,2,r12,4
p69,r2,3,r12,4
p70,r2,3,r12,4
p71,r2,3,r12,4
p72,r2,3,r12,3
p73,r4,3,r9,4
p74,r4,4,r9,3
p75,r4,4,r9,3
p76,r1,3,r6,4
p77,r1,3,r6,4
p78,r1,4,r6,4
p79,r4,3,r9,3
p80,r4,3,r9,3
p81,r4,4,r9,3
p82,r1,4,r10,4
p83,r1,4,r10,4
p84,r1,4,r10,4
p85,r1,3,r8,3
p86,r1,3,r8,3
p87,r1,4,r8,3
p88,r3,3,r6,3
p89,r3,4,r6,4
p90,r3,3,r6,3
p91,r1,4,r10,3
p92,r1,3,r10,4
p93,r3,3,r10,4
p94,r1,4,r10,4
p96,r4,4,r12,4
p97,r4,3,r12,4
p98,r5,2,r8,3
p99,r5,1,r9,2
p100,r5,3,r8,3
p101,r2,3,r9,3
p102,r2,2,r9,2
p103,r2,2,r9,2
p104,r1,4,r10,4
p105,r1,3,r10,3
p106,r1,3,r10,3
p107,r3,2,r12,4
p108,r3,3,r12,4
p109,r3,4,r12,4
p110,r4,2,r6,3
p111,r4,3,r6,4
p112,r4,3,r6,4
p113,r5,4,r7,3
p114,r5,4,r7,4
p115,r5,4,r7,4
p116,r5,4,r7,4
p117,r5,4,r7,3
p119,r1,4,r13,3
p120,r1,4,r13,3
p121,r3,3,r10,4
p122,r3,3,r10,3
p123,r3,2,r10,4
p124,r3,4,r6,4
p125,r3,3,r6,4
p126,r3,1,r6,3
p127,r3,3,r8,4
p128,r3,3,r8,4
p129,r3,3,r8,3
p130,r2,4,r7,3
p131,r2,3,r7,3
p132,r2,4,r7,3
p133,r1,4,r8,4
p134,r1,3,r8,4
p135,r1,3,r8,3
p136,r2,2,r9,3
p137,r2,2,r9,3
p138,r2,2,r9,2
p139,r3,3,r6,3
p140,r3,4,r6,4
p141,r3,4,r6,4
p142,r2,3,r9,4
p143,r2,2,r9,3
p144,r2,2,r9,3
p145,r1,3,r6,3
p146,r5,4,r7,3
p147,r5,4,r7,4
p148,r5,4,r7,3
p149,r5,4,r7,3
p150,r5,3,r7,3
p151,r5,3,r7,3
p152,r2,3,r8,4
p153,r2,3,r8,4
p154,r2,3,r8,4
p155,r2,3,r13,1
p156,r2,3,r13,2
p157,r2,2,r13,3
p158,r1,3,r8,3
p159,r1,4,r8,3
p160,r1,3,r8,3
p161,r5,3,r13,3
p162,r5,4,r13,4
p163,r5,4,r13,3
p164,r1,3,r8,4
p165,r1,3,r8,3
p169,r3,2,r4,3
p170,r3,2,r10,3
p171,r14,3,r3,3
p172,r14,2,r3,2
p174,r3,2,r10,3
p175,r12,3,r3,3
p176,r12,3,r3,4
p177,r14,4,r3,2
p178,r14,4,r3,3
p179,r14,4,r3,3
p180,r14,4,r3,3
p181,r12,4,r3,4
p182,r3,3,r9,3
p183,r3,3,r9,3
p184,r3,3,r9,3
p185,r5,2,r9,3
p186,r5,2,r9,3
p187,r5,3,r9,3
p188,r5,3,r10,3
p190,r5,3,r2,3
p191,r5,3,r2,4
p192,r5,3,r2,4
p193,r5,3,r2,4
p194,r5,4,r2,3
p195,r5,3,r2,4
p196,r5,3,r2,4
p197,r5,3,r2,3
p198,r5,3,r2,4
p199,r9,2,r2,3
p200,r9,2,r2,3
p201,r9,2,r2,3
p202,r9,2,r2,2
p203,r4,2,r9,2
p204,r4,2,r9,3
p205,r4,3,r9,3
p206,r9,3,r2,3
p207,r9,3,r2,4
p208,r9,2,r2,3
p209,r4,3,r9,3
p210,r4,3,r9,3
p211,r4,3,r9,3
p212,r4,2,r9,3
p213,r7,3,r2,3
p214,r7,3,r2,2
p215,r7,3,r2,4
p217,r12,4,r4,4
p218,r12,4,r4,4
p220,r10,3,r4,4
p222,r10,2,r4,2
p223,r4,2,r13,3
p224,r1,3,r2,3
p225,r1,4,r8,4
p226,r1,4,r13,3
p227,r14,3,r1,3
p228,r14,4,r1,3
p229,r1,4,r13,4
p230,r14,3,r1,3
p231,r1,2,r13,2
p232,r1,3,r8,3
p233,r1,3,r8,3
